company_name,cin,financial_year,cohort,sector,target_wilful_default,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,incorporation_year,company_age,ebit,working_capital,total_liabilities_proxy,capex_effective,free_cash_flow,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,interest_coverage,debt_service_coverage_proxy,net_profit_margin,ebitda_margin,roa,roe,asset_turnover,receivables_turnover,cfo_margin,cash_flow_to_debt,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_ratio,current_liabilities_to_assets,contingent_to_networth_ratio,auditor_qualification_flag,opinion_present_flag,auditor_name_present_flag,going_concern_uncertainty_unknown,emphasis_of_matter_unknown,fraud_reported_unknown,going_concern_uncertainty_flag,emphasis_of_matter_flag,fraud_reported_flag,related_party_unknown,related_party_flag,contingent_liability_unknown,contingent_liability_flag,current_assets_missing,current_liabilities_missing,receivables_missing,capex_missing,opinion_type_missing,auditor_name_missing,contingent_liabilities_amount_missing,promoter_holding_pct_missing,altman_z_proxy,revenue_yoy,pat_yoy,ebitda_yoy,total_borrowings_yoy,cfo_yoy,current_ratio_yoy,debt_to_equity_yoy,net_profit_margin_yoy,roa_yoy,auditor_changed_yoy,relative_year_from_latest,is_latest_observation,revenue_trend_3y,revenue_volatility_3y,pat_trend_3y,pat_volatility_3y,ebitda_trend_3y,ebitda_volatility_3y,total_borrowings_trend_3y,total_borrowings_volatility_3y,cfo_trend_3y,cfo_volatility_3y,current_ratio_trend_3y,current_ratio_volatility_3y,debt_to_equity_trend_3y,debt_to_equity_volatility_3y,net_profit_margin_trend_3y,net_profit_margin_volatility_3y,roa_trend_3y,roa_volatility_3y,auditor_changed_3y
Lemon Tree Hotels Limited,L74899DL1992PLC049022,2018,non_defaulter,Travel / Hospitality,0,231.0,22.0,34.0,20.0,26.0,80.0,961.0,319.0,,,1347.0,,,,175.0,51.0,-27.0,-24.0,0.0,1992.0,26.0,82.0,,386.0,27.0,24.0,,,,0.331945889698231,0.236822568671121,2.411764705882353,1.5,0.0952380952380952,0.3463203463203463,0.0163325909428359,0.0228928199791883,0.1714922048997773,,0.2207792207792207,0.1598746081504702,,0.1299183370452858,0.0608760207869339,0.7134372680029696,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.0480511287797483,0.0596330275229357,2.142857142857143,0.1428571428571428,-0.0062305295950155,-0.2916666666666667,,-0.0143324274538725,0.0631280034949759,0.0109727134543213,0.0,0,1,19.0,15.769168230019828,19.0,15.627610892974722,15.5,12.918548250050732,-11.0,9.93310961716756,3.0,11.575836902790224,,,-0.0203658529650921,0.0168701322156887,0.0890698248211201,0.0737462302987039,0.0142685075232867,0.011753327466167,0.0
Marico Limited,L15140MH1988PLC049208,2016,non_defaulter,FMCG / Foods,0,4861.0,691.0,15.0,69.0,936.0,1020.0,2538.0,204.0,,,3439.0,,,,2409.0,629.0,-86.0,-549.0,-6.0,1988.0,28.0,1642.0,,901.0,86.0,543.0,,,,0.0803782505910165,0.0593195696423378,109.46666666666668,41.93333333333333,0.1421518206130425,0.2098333676198313,0.2009305030532131,0.2722616233254531,1.4134922942715906,,0.1293972433655626,3.0833333333333335,,0.7004943297470195,0.4774643791799942,0.7380052340796743,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,5.659938893781876,,,,,,,,,,0.0,-2,0,154.5,148.07730713680908,13.5,66.21345952464817,4.5,91.76176884859086,-41.0,42.34251868853445,-110.0,92.62109191035628,,,-0.0201299342399344,0.0197715880785296,-0.0016368387397901,0.0157374724103783,-0.0111617689395418,0.0185420627271316,0.0
Marico Limited,L15140MH1988PLC049208,2017,non_defaulter,FMCG / Foods,0,4851.0,843.0,13.0,64.0,1142.0,1219.0,2924.0,108.0,,,3763.0,,,,2795.0,471.0,87.0,-560.0,-2.0,1988.0,29.0,1998.0,,839.0,87.0,384.0,,,,0.0369357045143638,0.0287005049162901,153.69230769230768,36.23076923076923,0.1737786023500309,0.251288394145537,0.2240233855965984,0.2883036935704514,1.2891310124900346,,0.0970933828076685,4.361111111111111,,0.7427584374169546,0.5309593409513685,0.7770395960669678,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,6.1722194366640615,-0.0020571898786257,0.2199710564399421,0.1950980392156862,-0.4705882352941176,-0.2511923688394276,,-0.0434425460766526,0.0316267817369883,0.0230928825433853,0.0,-1,0,154.5,148.07730713680908,13.5,66.21345952464817,4.5,91.76176884859086,-41.0,42.34251868853445,-110.0,92.62109191035628,,,-0.0201299342399344,0.0197715880785296,-0.0016368387397901,0.0157374724103783,-0.0111617689395418,0.0185420627271316,0.0
Marico Limited,L15140MH1988PLC049208,2018,non_defaulter,FMCG / Foods,0,5170.0,718.0,8.0,67.0,954.0,1029.0,3041.0,122.0,,,4020.0,,,,2912.0,409.0,187.0,-602.0,-6.0,1988.0,30.0,1680.0,,979.0,187.0,222.0,,,,0.0401183821111476,0.0303482587064676,210.0,51.125,0.1388781431334622,0.1990328820116054,0.1786069651741293,0.2361065439000328,1.2860696517412935,,0.0791102514506769,3.3524590163934427,,0.7243781094527363,0.417910447761194,0.7564676616915423,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,5.5430419912693925,0.0657596371882086,-0.1482799525504151,-0.1558654634946677,0.1296296296296296,-0.1316348195329087,,0.0031826775967837,-0.0349004592165686,-0.0454164204224691,0.0,0,1,154.5,148.07730713680908,13.5,66.21345952464817,4.5,91.76176884859086,-41.0,42.34251868853445,-110.0,92.62109191035628,,,-0.0201299342399344,0.0197715880785296,-0.0016368387397901,0.0157374724103783,-0.0111617689395418,0.0185420627271316,0.0
Mawana Sugars Ltd,L15421DL2002PLC118184,2021,defaulter,FMCG / Foods / Agro,1,1469.0,74.0,35.0,48.0,107.0,190.0,392.0,276.0,,,1401.0,,,,353.0,164.0,121.0,-243.0,43.0,2002.0,19.0,216.0,,1009.0,121.0,43.0,,,,0.7040816326530612,0.1970021413276231,6.171428571428572,4.685714285714286,0.0503744043567052,0.1293396868618107,0.052819414703783,0.1887755102040816,1.0485367594575303,,0.1116405718175629,0.5942028985507246,,0.2519628836545324,0.1541755888650963,0.2798001427551749,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.1431663210972767,,,,,,,,,,0.0,-2,0,6.5,5.436502143433363,-28.5,24.00462918318511,-53.5,45.30636452714637,53.5,60.07957685899223,-27.5,137.37620689996584,,,0.1071917975823422,0.1280950052823087,-0.0194517096007547,0.0163909522159701,-0.0183983972670658,0.0151244199096902,0.0
Mawana Sugars Ltd,L15421DL2002PLC118184,2022,defaulter,FMCG / Foods / Agro,1,1478.0,33.0,26.0,40.0,45.0,111.0,413.0,417.0,,,1075.0,,,,374.0,-151.0,-14.0,107.0,-57.0,2002.0,20.0,104.0,,662.0,14.0,-165.0,,,,1.0096852300242132,0.387906976744186,4.0,-5.8076923076923075,0.0223274695534506,0.0751014884979702,0.0306976744186046,0.0799031476997578,1.3748837209302325,,-0.1021650879566982,-0.3621103117505995,,0.347906976744186,0.0967441860465116,0.3841860465116279,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.555529544017424,0.0061266167460857,-0.5540540540540541,-0.4157894736842105,0.5108695652173914,-1.920731707317073,,0.3056035973711519,-0.0280469348032546,-0.0221217402851783,0.0,-1,0,6.5,5.436502143433363,-28.5,24.00462918318511,-53.5,45.30636452714637,53.5,60.07957685899223,-27.5,137.37620689996584,,,0.1071917975823422,0.1280950052823087,-0.0194517096007547,0.0163909522159701,-0.0183983972670658,0.0151244199096902,0.0
Mawana Sugars Ltd,L15421DL2002PLC118184,2023,defaulter,FMCG / Foods / Agro,1,1482.0,17.0,28.0,36.0,19.0,83.0,417.0,383.0,,,1061.0,,,,378.0,109.0,-39.0,-76.0,-6.0,2002.0,21.0,64.0,,644.0,39.0,70.0,,,,0.9184652278177458,0.3609802073515551,2.2857142857142856,3.892857142857143,0.0114709851551956,0.0560053981106612,0.0160226201696512,0.0407673860911271,1.3967954759660697,,0.073549257759784,0.2845953002610966,,0.35626767200754,0.060320452403393,0.3930254476908577,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.4831370264780093,0.0027063599458728,-0.4848484848484848,-0.2522522522522522,-0.0815347721822542,1.7218543046357615,,-0.0912200022064674,-0.0108564843982549,-0.0146750542489533,0.0,0,1,6.5,5.436502143433363,-28.5,24.00462918318511,-53.5,45.30636452714637,53.5,60.07957685899223,-27.5,137.37620689996584,,,0.1071917975823422,0.1280950052823087,-0.0194517096007547,0.0163909522159701,-0.0183983972670658,0.0151244199096902,0.0
Metalyst Forgings,L28910MH1977PLC019569,2014,defaulter,Engineering / Manufacturing,1,2395.0,193.0,199.0,137.0,282.0,618.0,1096.0,2563.0,,,4212.0,,,,1059.0,331.0,-339.0,-96.0,-104.0,1977.0,37.0,674.0,,3116.0,339.0,-8.0,,,,2.3385036496350367,0.6084995251661919,3.386934673366834,1.6633165829145728,0.0805845511482254,0.2580375782881002,0.0458214624881291,0.1760948905109489,0.568613485280152,,0.1382045929018789,0.129145532579009,,0.2514245014245014,0.1600189933523267,0.2602089268755935,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.6597102599456042,,,,,,,,,,0.0,-2,0,-763.0,707.8725560124192,-233.0,190.35814199088577,-319.0,273.64494432668687,102.0,124.7406197764875,-86.5,246.2821327033061,,,0.5366667941713843,0.4511332552804818,-0.1973693756891875,0.1671023680287023,-0.0525395569440862,0.0429507672380595,0.0
Metalyst Forgings,L28910MH1977PLC019569,2015,defaulter,Engineering / Manufacturing,1,2345.0,-54.0,368.0,190.0,-81.0,477.0,1081.0,2862.0,,,4814.0,,,,1044.0,745.0,-400.0,-436.0,-91.0,1977.0,38.0,233.0,,3733.0,400.0,345.0,,,,2.6475485661424605,0.5945159950145409,0.6331521739130435,2.0244565217391304,-0.0230277185501066,0.203411513859275,-0.0112172829248026,-0.0499537465309898,0.487120897382634,,0.3176972281449893,0.2603074772886093,,0.216867469879518,0.0484004985459077,0.2245533859576235,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.1242046564561727,-0.0208768267223382,-1.2797927461139895,-0.2281553398058252,0.1166601638704643,1.2507552870090637,,0.3090449165074238,-0.103612269698332,-0.0570387454129318,0.0,-1,0,-763.0,707.8725560124192,-233.0,190.35814199088577,-319.0,273.64494432668687,102.0,124.7406197764875,-86.5,246.2821327033061,,,0.5366667941713843,0.4511332552804818,-0.1973693756891875,0.1671023680287023,-0.0525395569440862,0.0429507672380595,0.0
Metalyst Forgings,L28910MH1977PLC019569,2016,defaulter,Engineering / Manufacturing,1,869.0,-273.0,198.0,142.0,-360.0,-20.0,811.0,2767.0,,,4607.0,,,,774.0,158.0,-58.0,-99.0,1.0,1977.0,39.0,-435.0,,3796.0,58.0,100.0,,,,3.4118372379778052,0.6006077707835902,-2.196969696969697,0.797979797979798,-0.3141542002301496,-0.0230149597238204,-0.0592576514000434,-0.3366214549938348,0.1886260039070978,,0.1818181818181818,0.0571015540296349,,0.1680052094638593,-0.0944215324506186,0.1760364662470154,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0.2404298059282582,-0.6294243070362473,-4.055555555555555,-1.0419287211740045,-0.0331935709294199,-0.7879194630872484,,0.7642886718353448,-0.291126481680043,-0.0480403684752407,0.0,0,1,-763.0,707.8725560124192,-233.0,190.35814199088577,-319.0,273.64494432668687,102.0,124.7406197764875,-86.5,246.2821327033061,,,0.5366667941713843,0.4511332552804818,-0.1973693756891875,0.1671023680287023,-0.0525395569440862,0.0429507672380595,0.0
Monnet Ispat & Energy Ltd,L02710CT1990PLC009826,2014,defaulter,Steel & Metals,1,2277.0,67.0,243.0,139.0,30.0,479.0,2665.0,7024.0,,,10687.0,,,,2599.0,203.0,-1643.0,790.0,-651.0,1990.0,24.0,340.0,,8022.0,1643.0,-1440.0,,,,2.6356472795497186,0.6572471226724057,1.3991769547325104,0.8353909465020576,0.0294246815985946,0.2103645147123408,0.0062692991484981,0.0251407129455909,0.2130625994198559,,0.0891523935002195,0.0289009111617312,,0.2431926639842799,0.0318143538879011,0.249368391503696,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0.8578465479872337,,,,,,,,,,0.0,-2,0,-225.0,565.2592325650241,-886.0,723.4972164578259,-422.5,348.14396766599623,283.5,463.7702975492166,213.0,173.94507434500375,,,5.093493927792708,4.440506849270087,-0.4813242729284708,0.4043777133128207,-0.0869184333580328,0.071082727193803,0.0
Monnet Ispat & Energy Ltd,L02710CT1990PLC009826,2015,defaulter,Steel & Metals,1,3186.0,-796.0,665.0,281.0,-193.0,-43.0,1843.0,8160.0,,,11039.0,,,,1777.0,409.0,-929.0,532.0,12.0,1990.0,25.0,-324.0,,9196.0,929.0,-520.0,,,,4.427563754747694,0.7391973910680315,-0.4872180451127819,0.6150375939849624,-0.2498430634023854,-0.0134965473948524,-0.0721079807953619,-0.4319045035268584,0.2886130990125917,,0.1283741368487131,0.0501225490196078,,0.1609747259715554,-0.0293504846453483,0.1669535283993115,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0.5373690499274173,0.3992094861660079,-12.880597014925373,-1.0897703549060542,0.1617312072892938,1.0147783251231528,,1.7919164751979753,-0.27926774500098,-0.07837727994386,0.0,-1,0,-225.0,565.2592325650241,-886.0,723.4972164578259,-422.5,348.14396766599623,283.5,463.7702975492166,213.0,173.94507434500375,,,5.093493927792708,4.440506849270087,-0.4813242729284708,0.4043777133128207,-0.0869184333580328,0.071082727193803,0.0
