company_name,cohort,rows_with_missing,missing_cells,distinct_missing_fields,missing_columns
Shree Renuka Sugars Limited,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Shri Lakshmi Cotsyn,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Sical Logistics Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Siemens Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Simbhaoli Sugars Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
SpiceJet Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Steel Authority of India Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Sun Pharmaceutical Industries Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Suzlon Energy Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
TBZ - The Bride's Jeweller,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Tata Elxsi Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Tata Steel Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Thermax Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Timken India Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Titan Company Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Trident Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
