company_name,cin,financial_year,cohort,sector,missing_count,missing_columns
Visa Steel Limited,L51109OR1996PLC004601,2021,defaulter,Steel & Metals,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Visa Steel Limited,L51109OR1996PLC004601,2020,defaulter,Steel & Metals,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Visa Steel Limited,L51109OR1996PLC004601,2019,defaulter,Steel & Metals,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
C Mahendra Exports Limited,L27205MH2007PLC166717,2015,defaulter,Gems & Jewellery,4,capex|opinion_type|auditor_name|promoter_holding_pct
C Mahendra Exports Limited,L27205MH2007PLC166717,2014,defaulter,Gems & Jewellery,4,capex|opinion_type|auditor_name|promoter_holding_pct
C Mahendra Exports Limited,L27205MH2007PLC166717,2013,defaulter,Gems & Jewellery,4,capex|opinion_type|auditor_name|promoter_holding_pct
Bajaj Finance Limited,L65910MH1987PLC042961,2023,non_defaulter,NBFC / Leasing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Bajaj Finance Limited,L65910MH1987PLC042961,2022,non_defaulter,NBFC / Leasing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Bajaj Finance Limited,L65910MH1987PLC042961,2021,non_defaulter,NBFC / Leasing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Blue Dart Express Limited,L66000MH1991PLC062329,2018,non_defaulter,Logistics,1,contingent_liabilities_amount
Britannia Industries Limited,L15412WB1918PLC002964,2018,non_defaulter,FMCG / Foods,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Britannia Industries Limited,L15412WB1918PLC002964,2017,non_defaulter,FMCG / Foods,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
