company_name,cin,financial_year,cohort,sector,target_wilful_default,debt_to_equity,debt_to_assets,ebitda_margin,pat_margin,roa,roe,ebitda_to_interest,cfo_to_assets,cfo_to_debt,cfo_to_ebitda,retained_earnings_to_assets,net_cash_change_to_assets,log_total_assets,log_revenue,revenue_growth_yoy,debt_growth_yoy,cfo_growth_yoy,asset_growth_yoy
Carborundum Universal Limited,L99999TN1954PLC000759,2017,non_defaulter,Engineering / Manufacturing,0,0.0028436018957345,0.0023130300693909,0.1756756756756756,0.0867709815078236,0.0940632228218966,0.1156398104265402,27.444444444444443,0.1364687740940632,59.0,0.7165991902834008,0.7987663839629915,-0.0015420200462606,7.167809184316444,7.248504072370611,0.088235294117647,-0.9724770642201837,0.5803571428571429,0.021259842519685
Coal India Limited,L23109WB1973GOI028844,2015,non_defaulter,Mining,0,0.0,0.0,35.92506459948321,34.58139534883721,0.6041713692384091,0.7997490139835066,56.97950819672131,0.5690488014085143,,0.9066388549233978,0.4703173671617534,-0.0035664304094623,10.00563792118106,5.958424693029782,,,,
Coal India Limited,L23109WB1973GOI028844,2016,non_defaulter,Mining,0,0.0,0.0,81.66666666666667,81.33823529411765,0.7760991580916745,1.034153942038018,,-0.036623012160898,,-0.0469987995198079,0.4550514499532273,0.0082787652011225,9.970211184579036,5.318119993844216,-0.4728682170542636,,-1.0621182070606905,-0.0348065550088032
Coal India Limited,L23109WB1973GOI028844,2017,non_defaulter,Mining,0,0.0,0.0,49.62758620689655,49.99655172413793,0.7677115323520067,1.0418193576201769,,-0.0393942602986339,,-0.0516953863257365,0.4082389071269723,0.0237742242931271,9.846176185823014,5.66988092298052,0.4215686274509804,,0.0498084291187739,-0.1166510757717493
Cochin Shipyard Limited,L63032KL1972GOI002414,2014,non_defaulter,Shipbuilding,0,0.2243116185359301,0.1118178774690324,0.2658509454949944,0.1568409343715239,0.0944091061265483,0.1893888515782404,23.9,-0.1955138935386675,-1.748502994011976,-1.2217573221757323,0.4606628724472715,-0.099765651155005,8.00202481821611,7.494430215031565,,,,
Cochin Shipyard Limited,L63032KL1972GOI002414,2015,non_defaulter,Shipbuilding,0,0.0791505791505791,0.0425458318920788,0.1054958938723941,0.0435881238155401,0.0238671739882393,0.0444015444015444,8.789473684210526,0.2293324109304738,5.390243902439025,3.970059880239521,0.49844344517468,0.1535800760982359,7.969357742016346,7.367077059881012,-0.1195773081201334,-0.6317365269461078,2.13527397260274,-0.0321392701707398
Cochin Shipyard Limited,L63032KL1972GOI002414,2016,non_defaulter,Shipbuilding,0,0.0674342105263157,0.036727381307853,0.2507537688442211,0.1467336683417085,0.0871902060316512,0.1600877192982456,41.583333333333336,0.0119438638399522,0.3252032520325203,0.0801603206412825,0.5108987757539564,0.0164228127799343,8.116417072794205,7.595889917718538,0.2571067593177511,0.0,-0.9396681749622926,0.1584226911103424
Cox & Kings Limited,L63040MH1939PLC011352,2016,defaulter,Travel / Aviation / Hospitality,1,0.4867536575721629,0.2952038369304556,0.1204353932584269,0.0579353932584269,0.039568345323741,0.0652431791221826,5.813559322033898,0.0606714628297362,0.2055239642567018,0.7376093294460642,0.5860911270983213,0.0237410071942446,8.335671314792847,7.954372272531867,,,,
Cox & Kings Limited,L63040MH1939PLC011352,2017,defaulter,Travel / Aviation / Hospitality,1,0.4492296918767507,0.2848579040852576,0.1190247032402951,0.0580686557587423,0.0401865008880994,0.063375350140056,5.3768115942028984,-0.0297513321492007,-0.1044427123928293,-0.3611859838274933,0.6145648312611013,-0.008436944937833,8.412721169819527,8.044626279767337,0.0944522471910112,0.0422420796100731,-1.5296442687747036,0.0800959232613908
Cox & Kings Limited,L63040MH1939PLC011352,2018,defaulter,Travel / Aviation / Hospitality,1,0.660797342192691,0.3660960795140806,0.1608844834159359,0.0670987418985894,0.0323946254371433,0.0584717607973421,3.8018018018018016,-0.1172464568378428,-0.3202614379084967,-1.509478672985782,0.5378244064053009,0.0139885882569482,8.600246746551523,7.872073979866873,-0.1584857234520372,0.5502727981293842,-3.753731343283582,0.2062611012433392
DLF Limited,L70101DL1963PLC004462,2016,non_defaulter,Real Estate,0,0.6644708882277943,0.3170863613317559,0.8862506902263942,0.413307564881281,0.0505999661990873,0.1060348491287717,2.3176895306859207,0.02869697481832,0.0905020786696514,0.2644859813084112,0.4651343586276829,0.0010140273787392,10.295022755110796,8.19478163844336,,,,
DLF Limited,L70101DL1963PLC004462,2017,non_defaulter,Real Estate,0,0.6177230685527747,0.3167015341701534,0.5981636510937078,0.1612206319200648,0.0208158995815899,0.04060119695321,1.7920711974110033,-0.0242677824267782,-0.0766266651987229,-0.3142212189616253,0.5002440725244073,-0.0045327754532775,10.263955294713556,8.216898580913613,0.022363335173937,-0.0317663362114913,-1.8197879858657244,-0.0305898259252999
DLF Limited,L70101DL1963PLC004462,2018,non_defaulter,Real Estate,0,0.243524642628547,0.1732175918900051,0.556282722513089,0.1194371727748691,0.0110783986402403,0.0155749946660977,1.66177908113392,0.000940905089993,0.0054319257052742,0.018235294117647,0.7004583118341579,0.0025191974990135,10.40265548874465,8.024862150286411,-0.1747231974075074,-0.3716833645271386,1.0445402298850577,0.1487796373779637
Dabur India Limited,L24230UP1975PLC003919,2016,non_defaulter,FMCG / Foods,0,0.0281189398836457,0.0196388261851015,0.2419475655430711,0.1754681647940074,0.2115124153498871,0.3028442146089204,129.2,0.2167042889390519,11.03448275862069,0.7430340557275542,0.6586907449209932,0.0024830699774266,8.39615486303918,8.582980931954241,,,,
Dabur India Limited,L24230UP1975PLC003919,2017,non_defaulter,FMCG / Foods,0,0.0776380535811919,0.0544374161395438,0.2617652617652617,0.1886221886221886,0.1912976806593828,0.2728266812465828,86.5625,0.1776883266244968,3.2640845070422535,0.6693140794223826,0.6674333908376462,-0.0049837071113666,8.559677803022392,8.57376254290413,-0.0091760299625468,2.264367816091954,-0.034375,0.1776523702031602
