company_name,cin,financial_year,cohort,sector,target_wilful_default,debt_to_assets,ebitda_margin,pat_margin,roa,retained_earnings_to_assets,cfo_to_assets,cfo_to_ebitda,net_cash_change_to_assets,log_total_assets,log_revenue
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2017,non_defaulter,Engineering / Manufacturing,0,0.0024358557973367,0.0664322138209952,0.0174432917179532,0.0080545631698603,0.5164826242286457,0.0091263397206885,0.297511911064055,-0.0076973043195842,11.028092421478492,10.2553760597409
Bhushan Steel Limited,L27109DL1990PLC040690,2014,defaulter,Steel & Metals,1,0.6235550052741108,0.2813805120594306,0.0064035850154457,0.0012134567575793,0.1763409617643614,0.0452668723563348,0.8489563246761356,-0.001384037912494,10.84077118344408,9.177386302332089
Bhushan Steel Limited,L27109DL1990PLC040690,2015,defaulter,Steel & Metals,1,0.7282380652126579,0.2045394555771917,-0.1177772955831283,-0.023698521495621,0.145632416715053,0.041076013390913,0.9980482025093228,7.333551071756907e-05,10.876300762752775,9.27291790914088
Bhushan Steel Limited,L27109DL1990PLC040690,2016,defaulter,Steel & Metals,1,0.7820580711703637,0.1786212056126473,-0.2405709574899831,-0.0524265007553676,0.0830520322915501,-0.0049904854330928,-0.1282041552034911,0.0014121367689911,10.899680551453264,9.376077666975329
Blue Dart Express Limited,L66000MH1991PLC062329,2018,non_defaulter,Logistics,0,0.1353996737357259,0.1013973486205661,0.0508778215693299,0.1158238172920065,0.4869494290375203,0.1712887438825448,0.7420494699646644,-0.0244698205546492,7.111512116496157,7.934155233536322
Blue Dart Express Limited,L66000MH1991PLC062329,2019,non_defaulter,Logistics,0,0.1065693430656934,0.060347551342812,0.0278041074249605,0.0642335766423357,0.4678832116788321,0.1145985401459854,0.8219895287958116,0.0291970802919708,7.222566018822171,8.059908334578276
Blue Dart Express Limited,L66000MH1991PLC062329,2020,non_defaulter,Logistics,0,0.0480461242793081,0.0435881238155401,-0.0120025268477574,-0.0243433696348494,0.358744394618834,0.0602178090967328,0.6811594202898551,-0.1076233183856502,7.353081920515432,8.060224240440958
Britannia Industries Limited,L15412WB1918PLC002964,2016,non_defaulter,FMCG / Foods,0,0.0003225806451612,0.1601138127263321,0.0986808070356958,0.2461290322580645,0.6425806451612903,0.2832258064516129,0.7092084006462036,-0.0029032258064516,8.039157390473237,8.953122840328222
Britannia Industries Limited,L15412WB1918PLC002964,2017,non_defaulter,FMCG / Foods,0,0.0002705627705627,0.1602091751842168,0.1003090087948657,0.2283549783549783,0.6920995670995671,0.1087662337662337,0.2982195845697329,0.0008116883116883,8.215006432761575,9.037652264150466
Britannia Industries Limited,L15412WB1918PLC002964,2018,non_defaulter,FMCG / Foods,0,0.0021612275772638,0.1683147033533963,0.1018916595012897,0.2048843743246163,0.6939701750594338,0.2556732223903177,0.7554278416347382,0.0121028744326777,8.439663988907,9.1381996941985
C Mahendra Exports Limited,L27205MH2007PLC166717,2013,defaulter,Gems & Jewellery,1,0.499105713135248,0.0588224150342893,0.0147624370098132,0.0145941997771306,0.2506344286396538,0.0095468634409911,0.164170692431562,0.0007304123083838,7.666587198520926,7.655125458152122
C Mahendra Exports Limited,L27205MH2007PLC166717,2014,defaulter,Gems & Jewellery,1,0.4718376303734348,0.0484998493179785,0.0029247133336297,0.0025274195132155,0.2306142227117674,0.0062630480167014,0.1494346541713354,-0.0007599335698519,7.758892900897696,7.612895257593758
C Mahendra Exports Limited,L27205MH2007PLC166717,2015,defaulter,Gems & Jewellery,1,0.5715694257767663,-0.0892872444345426,-0.2295590478312282,-0.0657075022809995,0.2055303201247927,-0.0129943391968919,0.5084452975047984,-8.339138027450481e-05,7.620008766031817,6.36906158954034
Carborundum Universal Limited,L99999TN1954PLC000759,2015,non_defaulter,Engineering / Manufacturing,0,0.0732984293193717,0.2299741602067183,0.1274763135228251,0.1291448516579406,0.7338568935427574,0.0924956369982548,0.3970037453183521,-0.0043630017452006,7.044032897274685,7.057036981697891
Carborundum Universal Limited,L99999TN1954PLC000759,2016,non_defaulter,Engineering / Manufacturing,0,0.0858267716535433,0.1842105263157894,0.0897832817337461,0.0913385826771653,0.7401574803149606,0.0881889763779527,0.4705882352941176,0.0023622047244094,7.146772179452637,7.163946684342547
Carborundum Universal Limited,L99999TN1954PLC000759,2017,non_defaulter,Engineering / Manufacturing,0,0.0023130300693909,0.1756756756756756,0.0867709815078236,0.0940632228218966,0.7987663839629915,0.1364687740940632,0.7165991902834008,-0.0015420200462606,7.167809184316444,7.248504072370611
Coal India Limited,L23109WB1973GOI028844,2015,non_defaulter,Mining,0,0.0,35.92506459948321,34.58139534883721,0.6041713692384091,0.4703173671617534,0.5690488014085143,0.9066388549233978,-0.0035664304094623,10.00563792118106,5.958424693029782
Coal India Limited,L23109WB1973GOI028844,2016,non_defaulter,Mining,0,0.0,81.66666666666667,81.33823529411765,0.7760991580916745,0.4550514499532273,-0.036623012160898,-0.0469987995198079,0.0082787652011225,9.970211184579036,5.318119993844216
Coal India Limited,L23109WB1973GOI028844,2017,non_defaulter,Mining,0,0.0,49.62758620689655,49.99655172413793,0.7677115323520067,0.4082389071269723,-0.0393942602986339,-0.0516953863257365,0.0237742242931271,9.846176185823014,5.66988092298052
