company_name,cin,financial_year,cohort,sector,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,capex,opinion_type,going_concern_uncertainty,emphasis_of_matter,fraud_reported,auditor_name,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct,target_wilful_default,incorporation_year,company_age,ebit,working_capital,total_liabilities_proxy,capex_effective,free_cash_flow,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,interest_coverage,debt_service_coverage_proxy,net_profit_margin,ebitda_margin,roa,roe,asset_turnover,receivables_turnover,cfo_margin,cash_flow_to_debt,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_ratio,current_liabilities_to_assets,rpt_to_revenue_ratio,contingent_to_networth_ratio,auditor_qualification_flag,opinion_present_flag,auditor_name_present_flag,going_concern_uncertainty_unknown,emphasis_of_matter_unknown,fraud_reported_unknown,going_concern_uncertainty_flag,emphasis_of_matter_flag,fraud_reported_flag,related_party_unknown,related_party_flag,contingent_liability_unknown,contingent_liability_flag,current_assets_missing,current_liabilities_missing,receivables_missing,capex_missing,opinion_type_missing,auditor_name_missing,contingent_liabilities_amount_missing,promoter_holding_pct_missing,altman_z_proxy,revenue_yoy,pat_yoy,ebitda_yoy,total_borrowings_yoy,cfo_yoy,current_ratio_yoy,debt_to_equity_yoy,net_profit_margin_yoy,roa_yoy,promoter_holding_pct_yoy,auditor_changed_yoy,relative_year_from_latest,is_latest_observation,revenue_trend_3y,revenue_volatility_3y,pat_trend_3y,pat_volatility_3y,ebitda_trend_3y,ebitda_volatility_3y,total_borrowings_trend_3y,total_borrowings_volatility_3y,cfo_trend_3y,cfo_volatility_3y,current_ratio_trend_3y,current_ratio_volatility_3y,debt_to_equity_trend_3y,debt_to_equity_volatility_3y,net_profit_margin_trend_3y,net_profit_margin_volatility_3y,roa_trend_3y,roa_volatility_3y,promoter_holding_pct_trend_3y,promoter_holding_pct_volatility_3y,auditor_changed_3y
Asian Star Company Ltd,L36910MH1995PLC086017,2016,defaulter,Gems & Jewellery,2373.0,40.0,21.0,14.0,56.0,91.0,608.0,821.0,,,1758.0,,,,592.0,58.0,-15.0,-31.0,11.0,,,,,,,,,,,,1,1995.0,21.0,117.0,,1150.0,15.0,43.0,,,,1.350328947368421,0.4670079635949943,5.571428571428571,2.761904761904762,0.01685630004214075,0.038348082595870206,0.022753128555176336,0.06578947368421052,1.3498293515358362,,0.024441635061104087,0.07064555420219244,,0.33674630261660976,0.06655290102389079,0.34584755403868034,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.358116139882277,0.04353562005277045,-0.06976744186046512,-0.09,-0.021454112038140644,1.6363636363636365,,-0.32432175123437346,-0.002053110687850454,-0.0031504859026549904,,0.0,-1,0,211.5,180.64883060789515,0.5,1.699673171197595,5.0,7.760297817881877,-30.0,25.13961017995307,53.5,44.4547210341289,,,-0.23624510238781704,0.19731122695924386,-0.001297493648273319,0.0011176787863373245,-0.0005644198415282759,0.0013032819209845966,,,0.0
Asian Star Company Ltd,L36910MH1995PLC086017,2017,defaulter,Gems & Jewellery,2697.0,44.0,27.0,16.0,67.0,110.0,648.0,779.0,,,1776.0,,,,632.0,129.0,-41.0,-67.0,21.0,,,,,,,,,,,,1,1995.0,22.0,138.0,,1128.0,41.0,88.0,,,,1.2021604938271604,0.4386261261261261,5.111111111111111,4.777777777777778,0.016314423433444566,0.04078605858361142,0.024774774774774775,0.06790123456790123,1.5185810810810811,,0.047830923248053395,0.16559691912708602,,0.35585585585585583,0.0777027027027027,0.36486486486486486,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2.6178790492620276,0.13653603034134007,0.1,0.2087912087912088,-0.05115712545676005,1.2241379310344827,,-0.14816845354126063,-0.0005418766086961839,0.0020216462195984386,,0.0,0,1,211.5,180.64883060789515,0.5,1.699673171197595,5.0,7.760297817881877,-30.0,25.13961017995307,53.5,44.4547210341289,,,-0.23624510238781704,0.19731122695924386,-0.001297493648273319,0.0011176787863373245,-0.0005644198415282759,0.0013032819209845966,,,0.0
Bajaj Finance Limited,L65910MH1987PLC042961,2021,non_defaulter,NBFC / Leasing,23537.0,3956.0,7550.0,302.0,1394.0,13215.0,35938.0,99854.0,,,138284.0,,,,35818.0,4386.0,424.0,-4113.0,697.0,,,,,,,,,,,,0,1987.0,34.0,12900.0,,102346.0,424.0,3962.0,,,,2.778507429461851,0.7220936623181279,1.7086092715231789,0.5809271523178808,0.16807579555593322,0.5614564303012278,0.028607792658586678,0.11007846847348211,0.17020768852506435,,0.18634490376853466,0.043924129228673864,,0.25901767377281537,0.09328628040843481,0.25988545312545197,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.0513624794927923,,,,,,,,,,,0.0,-2,0,6073.5,5026.255266100201,3167.0,2611.3936679269345,5267.5,4389.692497456083,30915.5,25504.02840075792,-15844.0,14195.5189486761,,,0.18071696089488776,0.1484025416959085,0.060144368784078,0.04910802084823405,0.009457794006695577,0.007723319282176098,,,0.0
Bajaj Finance Limited,L65910MH1987PLC042961,2022,non_defaulter,NBFC / Leasing,27872.0,6350.0,7678.0,355.0,2232.0,16619.0,42056.0,123040.0,,,168017.0,,,,41935.0,-23856.0,3806.0,21550.0,1501.0,,,,,,,,,,,,0,1987.0,35.0,16260.0,,125961.0,3806.0,-27662.0,,,,2.9256229788852957,0.7323068499020933,2.1177389945298253,-3.1070591299817663,0.2278272101033295,0.5962614810562572,0.03779379467553878,0.15098915731405746,0.1658879756215145,,-0.8559127439724454,-0.19388816644993498,,0.24958783932578252,0.09677592148413554,0.2503080045471589,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.0350001647359974,0.18417810256192377,0.6051567239635995,0.25758607642830117,0.2321990105554109,-6.439124487004104,,0.14711554942344485,0.0597514145473963,0.009186002016952105,,0.0,-1,0,6073.5,5026.255266100201,3167.0,2611.3936679269345,5267.5,4389.692497456083,30915.5,25504.02840075792,-15844.0,14195.5189486761,,,0.18071696089488776,0.1484025416959085,0.060144368784078,0.04910802084823405,0.009457794006695577,0.007723319282176098,,,0.0
Bajaj Finance Limited,L65910MH1987PLC042961,2023,non_defaulter,NBFC / Leasing,35684.0,10290.0,9424.0,444.0,3609.0,23750.0,51493.0,161685.0,,,216525.0,,,,51372.0,-27302.0,-12400.0,38021.0,-1682.0,,,,,,,,,,,,0,1987.0,36.0,23323.0,,165032.0,12400.0,-39702.0,,,,3.1399413512516263,0.7467267059231035,2.474851443123939,-2.8970713073005094,0.2883645331240892,0.6655643986100213,0.04752338067197783,0.19983298700794283,0.1648031405149521,,-0.7651048088779285,-0.16885920153384668,,0.23725666782126775,0.10771504445214178,0.23781549474656505,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.0396330873029482,0.2802812858783008,0.6204724409448819,0.4290871893615741,0.31408485045513657,-0.14445003353454058,,0.21431837236633067,0.060537323020759704,0.009729585996439048,,0.0,0,1,6073.5,5026.255266100201,3167.0,2611.3936679269345,5267.5,4389.692497456083,30915.5,25504.02840075792,-15844.0,14195.5189486761,,,0.18071696089488776,0.1484025416959085,0.060144368784078,0.04910802084823405,0.009457794006695577,0.007723319282176098,,,0.0
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2015,non_defaulter,Engineering / Manufacturing,30717.0,1419.0,92.0,1077.0,2140.0,3309.0,34085.0,118.0,,,68604.0,,,,33595.0,775.0,464.0,-3300.0,-2060.0,,,,,,,,,,,,0,1964.0,51.0,3651.0,,34519.0,464.0,311.0,,,,0.0034619334017896436,0.0017200163255786834,39.68478260869565,8.423913043478262,0.046195917570075205,0.1077253638050591,0.02068392513556061,0.041631216077453424,0.4477435718033934,,0.025230328482599214,6.567796610169491,,0.48969447845606673,0.05321847122616757,0.4968369191300799,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.9013931250870928,,,,,,,,,,,0.0,-2,0,-1141.0,2149.393919741615,-461.5,871.7164421734602,-710.0,1299.8567442435938,16.0,34.61534662865912,-106.5,174.7309042181402,,,0.0005913742187521826,0.0011540356105239483,-0.014376312926060987,0.030492200587692496,-0.006314680982850133,0.012959707153827108,,,0.0
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2016,non_defaulter,Engineering / Manufacturing,25467.0,-710.0,359.0,936.0,-1164.0,131.0,32182.0,202.0,,,65419.0,,,,31692.0,347.0,51.0,-124.0,274.0,,,,,,,,,,,,0,1964.0,52.0,-1515.0,,33237.0,51.0,296.0,,,,0.006276800696041265,0.0030877879515125574,-4.220055710306407,0.9665738161559888,-0.027879216240625122,0.005143911728904072,-0.010853116067197603,-0.022062022248461873,0.3892905730751005,,0.013625476106333688,1.7178217821782178,,0.48444641465017807,-0.02315840963634418,0.49193659334444123,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.5720477616193342,-0.1709151284305108,-1.5003523608174771,-0.960411000302206,0.711864406779661,-0.552258064516129,,0.0028148672942516217,-0.07407513381070033,-0.031537041202758215,,0.0,-1,0,-1141.0,2149.393919741615,-461.5,871.7164421734602,-710.0,1299.8567442435938,16.0,34.61534662865912,-106.5,174.7309042181402,,,0.0005913742187521826,0.0011540356105239483,-0.014376312926060987,0.030492200587692496,-0.006314680982850133,0.012959707153827108,,,0.0
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2017,non_defaulter,Engineering / Manufacturing,28435.0,496.0,412.0,849.0,628.0,1889.0,32295.0,150.0,,,61580.0,,,,31805.0,562.0,-566.0,-470.0,-474.0,,,,,,,,,,,,0,1964.0,53.0,1536.0,,29285.0,566.0,-4.0,,,,0.004644681839294009,0.0024358557973367975,3.7281553398058254,1.3640776699029127,0.017443291717953228,0.06643221382099525,0.008054563169860343,0.015358414615265522,0.46175706398181227,,0.019764374890100227,3.7466666666666666,,0.5164826242286457,0.024943163364728807,0.5244397531666125,,,,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1.928814973829834,0.11654297718616248,1.6985915492957746,13.419847328244275,-0.25742574257425743,0.6195965417867435,,-0.0016321188567472566,0.045322507958578354,0.018907679237057946,,0.0,0,1,-1141.0,2149.393919741615,-461.5,871.7164421734602,-710.0,1299.8567442435938,16.0,34.61534662865912,-106.5,174.7309042181402,,,0.0005913742187521826,0.0011540356105239483,-0.014376312926060987,0.030492200587692496,-0.006314680982850133,0.012959707153827108,,,0.0
Bhushan Steel Limited,L27109DL1990PLC040690,2014,defaulter,Steel & Metals,9675.83,61.96,1663.3,963.96,33.37,2722.59,9153.13,31839.18,10453.04,12804.69,51060.74,82.96,6480.25,2464.45,9004.1,2311.36,-5031.11,2649.09,-70.67,-4887.47,,,,,,,,,,2907.58,1,1990.0,24.0,1758.6299999999999,-2351.6499999999996,41907.61,4887.47,-2576.11,0.8163446362231339,0.31026053734998665,0.006478876099304238,3.478501889517575,0.6235550052741108,1.0573137738231226,1.3896230385378465,0.006403585015445704,0.2813805120594306,0.0012134567575793065,0.0067692690915566595,0.189496470282256,3.92616202398101,0.23887976535346322,0.0725948344147054,-0.04605593260105513,0.17634096176436143,0.03444192152326817,0.17925964253553708,0.2507736863978078,,,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0.6258123114563057,,,,,,,,,,,0.0,-2,0,1063.3999999999996,869.3795299075207,-1450.665,1186.1682560337813,-307.19500000000016,274.75639768104895,5258.174999999999,4346.0222824785415,-1290.8200000000002,1185.780854149141,-0.01564462098527214,0.07846362181396642,2.7429864738095384,2.326038896351809,-0.12348727125271444,0.10082746492923123,-0.02681997875647346,0.021916884649935253,0.0,0.0,0.0
Bhushan Steel Limited,L27109DL1990PLC040690,2015,defaulter,Steel & Metals,10645.77,-1253.83,2494.03,938.4,-1.12,2177.48,7880.57,38529.27,11665.82,12089.86,52907.52,86.84,7321.23,2398.29,7705.05,2173.23,-1402.79,-766.56,3.88,-1717.24,1345.83,,,,,,,,,,1,1990.0,25.0,1239.0800000000004,-424.0400000000009,45026.95,1717.24,455.99,0.964925979291737,0.3593581728820681,0.00718287887535505,4.889147612418898,0.7282380652126579,0.4968184023447995,0.871372838337951,-0.11777729558312831,0.2045394555771917,-0.023698521495621037,-0.15910397344354532,0.20121468554942665,4.438900216404188,0.20414023598105163,0.05640465028275906,-0.008014739681618055,0.145632416715053,0.02341973314946534,0.14894990352978177,0.22850929319688396,,,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0.5777788772458567,0.10024359667336037,-21.236120077469334,-0.20021744001116587,0.21012130337527526,-0.05976135262356366,0.14858134306860304,1.410645722901323,-0.12418088059857402,-0.024911978253200344,,0.0,-1,0,1063.3999999999996,869.3795299075207,-1450.665,1186.1682560337813,-307.19500000000016,274.75639768104895,5258.174999999999,4346.0222824785415,-1290.8200000000002,1185.780854149141,-0.01564462098527214,0.07846362181396642,2.7429864738095384,2.326038896351809,-0.12348727125271444,0.10082746492923123,-0.02681997875647346,0.021916884649935253,0.0,0.0,0.0
